lat,lon,amenity,name,coordinates,city,cluster,is_chain
49.2285595,-123.0045242,cafe,comebuy,"49.2285595,-123.0045242",Burnaby,36,False
49.2287893,-123.0046579,bar,eggstatic,"49.2287893,-123.0046579",Burnaby,36,False
49.2505112,-122.8949216,cafe,grainery,"49.2505112,-122.8949216",Burnaby,1,False
49.2798847,-123.1068032,fast_food,canraplus,"49.2798847,-123.1068032",Vancouver,0,False
49.2799835,-123.1065637,fast_food,ryo,"49.2799835,-123.1065637",Vancouver,0,False
49.2800531,-123.1064691,fast_food,india'sflavour,"49.2800531,-123.1064691",Vancouver,0,False
49.2800925,-123.1064315,fast_food,kazoku,"49.2800925,-123.1064315",Vancouver,0,False
49.227688,-122.836293,fast_food,madetoorderchips,"49.227688,-122.836293",Coquitlam,8,False
49.2419122,-122.8845042,restaurant,char631steakhouse,"49.2419122,-122.8845042",Coquitlam,8,False
49.2507778,-122.8945798,fast_food,wok,"49.2507778,-122.8945798",Burnaby,1,False
49.25081,-122.8946267,fast_food,kojoofjapan,"49.25081,-122.8946267",Burnaby,1,False
49.2505677,-122.8949895,bar,chopandtoss,"49.2505677,-122.8949895",Burnaby,1,False
49.2277796,-122.8362961,fast_food,fuexpress,"49.2277796,-122.8362961",Coquitlam,8,False
49.2276126,-122.83629379999999,fast_food,roadies,"49.2276126,-122.83629379999999",Coquitlam,8,False
49.2275513,-122.8363525,bar,fuelcafe,"49.2275513,-122.8363525",Coquitlam,8,False
49.2799047,-123.106734,fast_food,bubbleking,"49.2799047,-123.106734",Vancouver,0,False
49.2799553,-123.1066209,fast_food,tina,"49.2799553,-123.1066209",Vancouver,0,False
49.2800166,-123.1065184,fast_food,thaitown,"49.2800166,-123.1065184",Vancouver,0,False
49.2801753,-123.1063639,fast_food,wowthaifood,"49.2801753,-123.1063639",Vancouver,0,False
49.2802143,-123.1063341,fast_food,balithai,"49.2802143,-123.1063341",Vancouver,0,False
49.2802598,-123.1063002,fast_food,giantpanda,"49.2802598,-123.1063002",Vancouver,0,False
49.3059961,-123.0105992,restaurant,y2cafe,"49.3059961,-123.0105992",District of North Vancouver,12,False
49.3063936,-123.0115775,bar,deepcovebrewersanddistillerslounge,"49.3063936,-123.0115775",North Vancouver,4,False
49.2309718,-123.0653719,restaurant,luckydragonpalacerestaurant,"49.2309718,-123.0653719",Vancouver,26,False
49.2710854,-123.1553081,restaurant,cafezen,"49.2710854,-123.1553081",Vancouver,35,False
49.2691827,-123.0694303,restaurant,federicossupperclub,"49.2691827,-123.0694303",Vancouver,37,False
49.2777606,-123.0760415,bar,offtherailtastingroom,"49.2777606,-123.0760415",Vancouver,37,False
49.2774745,-123.0745168,bar,bombertastingroom,"49.2774745,-123.0745168",Vancouver,37,False
49.1293757,-123.0952983,bar,fugglesandwarlocktastingroom,"49.1293757,-123.0952983",Richmond,3,False
49.1953219,-123.1781022,cafe,galianobakeryandcafe,"49.1953219,-123.1781022",Richmond,3,False
49.1957016,-123.1769158,fast_food,thaihang,"49.1957016,-123.1769158",Richmond,3,False
49.2733358,-123.1195188,bar,thewinebar,"49.2733358,-123.1195188",Vancouver,0,False
49.2830915,-123.1356339,restaurant,kinara,"49.2830915,-123.1356339",Vancouver,0,False
49.2869536,-123.1410819,restaurant,theparkatenglishbay,"49.2869536,-123.1410819",Vancouver,0,False
49.28645,-123.1403248,fast_food,yummytogo,"49.28645,-123.1403248",Vancouver,0,False
49.286609,-123.1405889,restaurant,grotto,"49.286609,-123.1405889",Vancouver,0,False
49.2726318,-123.1353692,fast_food,fraservalleyjuice,"49.2726318,-123.1353692",Vancouver,0,False
49.2256833,-122.999253,bar,littlemonkpretzels,"49.2256833,-122.999253",Burnaby,36,False
49.2849397,-123.0649633,pub,princetonpub,"49.2849397,-123.0649633",Vancouver,37,False
49.2295422,-123.0031558,fast_food,wuhanspicyduck,"49.2295422,-123.0031558",Burnaby,36,False
49.2289206,-123.0043591,restaurant,sandwpepperhouse,"49.2289206,-123.0043591",Burnaby,36,False
49.2826109,-123.1146226,fast_food,sushihome,"49.2826109,-123.1146226",Vancouver,0,False
49.2825668,-123.1145555,fast_food,bigbowlrice,"49.2825668,-123.1145555",Vancouver,0,False
49.2841314,-123.1083829,pub,pourhouse,"49.2841314,-123.1083829",Vancouver,0,False
49.2031688,-122.908271,bar,judgebegbies,"49.2031688,-122.908271",New Westminster,6,False
49.2017326,-122.9124591,bar,hops,"49.2017326,-122.9124591",New Westminster,6,False
49.1059413,-122.6624961,restaurant,nysindiangrillandbar,"49.1059413,-122.6624961",Langley City,10,False
49.1553312,-122.6687199,restaurant,sandl,"49.1553312,-122.6687199",Township of Langley,21,False
49.2756868,-123.1281101,bar,cecilbar,"49.2756868,-123.1281101",Vancouver,0,False
49.2915693,-123.1275164,restaurant,carderos,"49.2915693,-123.1275164",Vancouver,0,False
49.2839339,-123.1223497,restaurant,shabusen,"49.2839339,-123.1223497",Vancouver,0,False
49.2616646,-122.8909069,restaurant,hananosushiandgrill,"49.2616646,-122.8909069",Coquitlam,8,False
49.274232,-123.1239335,restaurant,housespecial,"49.274232,-123.1239335",Vancouver,0,False
49.2747239,-123.1227038,restaurant,lapentala,"49.2747239,-123.1227038",Vancouver,0,False
49.2744227,-123.1235737,restaurant,saigonxua,"49.2744227,-123.1235737",Vancouver,0,False
49.2741305,-123.1241126,bar,soho,"49.2741305,-123.1241126",Vancouver,0,False
49.2753903,-123.1216407,bar,yaletowndistillingcompany,"49.2753903,-123.1216407",Vancouver,0,False
49.2750527,-123.1221518,fast_food,livingproduceaisle,"49.2750527,-123.1221518",Vancouver,0,False
49.2752946,-123.1211862,restaurant,robbadamatti,"49.2752946,-123.1211862",Vancouver,0,False
49.2752508,-123.1212681,bar,thedistillerybar,"49.2752508,-123.1212681",Vancouver,0,False
49.2751593,-123.1213923,restaurant,paulieskitchen,"49.2751593,-123.1213923",Vancouver,0,False
49.2750611,-123.1210797,restaurant,zendconsciouslounge,"49.2750611,-123.1210797",Vancouver,0,False
49.2751119,-123.1214624,fast_food,mister,"49.2751119,-123.1214624",Vancouver,0,False
49.274839,-123.1218884,restaurant,sushimaro,"49.274839,-123.1218884",Vancouver,0,False
49.103954,-122.734208,pub,clydesdalecoverdale,"49.103954,-122.734208",Surrey,33,False
49.2829831,-123.1098733,cafe,newamsterdamcafe,"49.2829831,-123.1098733",Vancouver,0,False
49.1329664,-123.0980826,restaurant,maruwasushi,"49.1329664,-123.0980826",Richmond,3,False
49.2616715,-123.1007497,bar,thecascade,"49.2616715,-123.1007497",Vancouver,0,False
49.261745,-123.1007497,restaurant,charlieslittleitalian,"49.261745,-123.1007497",Vancouver,0,False
49.262522,-123.1007068,restaurant,cafebarney,"49.262522,-123.1007068",Vancouver,0,False
49.2631687,-123.1007163,restaurant,frenchiesdiner,"49.2631687,-123.1007163",Vancouver,0,False
49.263303,-123.1007167,fast_food,pizza604,"49.263303,-123.1007167",Vancouver,0,False
49.2631099,-123.1018738,restaurant,chutneyvilla,"49.2631099,-123.1018738",Vancouver,0,False
49.2635678,-123.1006513,restaurant,thewallflower,"49.2635678,-123.1006513",Vancouver,0,False
49.2622376,-123.1012945,cafe,sunnyspot,"49.2622376,-123.1012945",Vancouver,0,False
49.2565248,-123.0062372,restaurant,gbeizakaya,"49.2565248,-123.0062372",Burnaby,24,False
49.321953,-123.0728213,restaurant,alberellopizzeria,"49.321953,-123.0728213",North Vancouver,4,False
49.1710599,-122.9466253,restaurant,twinbridgesrestaurant,"49.1710599,-122.9466253",Delta,11,False
49.1024107,-122.6599622,restaurant,chefskitchen,"49.1024107,-122.6599622",Langley City,10,False
49.1052988,-122.6586384,restaurant,masalaindiabistro,"49.1052988,-122.6586384",Langley City,10,False
49.104928,-122.658331,pub,baselinespub,"49.104928,-122.658331",Langley City,10,False
49.255696,-123.0896525,restaurant,bellsandwhistles,"49.255696,-123.0896525",Vancouver,37,False
49.2559475,-123.0877967,restaurant,thanhthanh,"49.2559475,-123.0877967",Vancouver,37,False
49.2826274,-123.1252133,restaurant,lecrocrodile,"49.2826274,-123.1252133",Vancouver,0,False
49.2420515,-122.760669,restaurant,ironbowljapanese,"49.2420515,-122.760669",Port Coquitlam,14,False
49.1609291,-122.8877688,restaurant,nordelsushi,"49.1609291,-122.8877688",Surrey,2,False
49.2655654,-123.254337,fast_food,stackables,"49.2655654,-123.254337",Electoral Area A,15,False
49.2673017,-123.2526955,cafe,ikescafe,"49.2673017,-123.2526955",Electoral Area A,15,False
49.0896971,-123.0421766,bar,sundancepub,"49.0896971,-123.0421766",Delta,23,False
49.0904352,-123.0723913,pub,thelandingpubandgrill,"49.0904352,-123.0723913",Delta,23,False
49.1708265,-123.136968,restaurant,empireseafoodrestaurant,"49.1708265,-123.136968",Richmond,3,False
49.1445825,-123.0923099,fast_food,kongskitchen,"49.1445825,-123.0923099",Richmond,3,False
49.1705244,-123.1569694,cafe,goldencoin,"49.1705244,-123.1569694",Richmond,3,False
49.2832515,-123.105379,bar,gringo,"49.2832515,-123.105379",Vancouver,0,False
49.2838013,-123.1158299,fast_food,urbansushi,"49.2838013,-123.1158299",Vancouver,0,False
49.2848065,-123.1143227,cafe,treescoffee,"49.2848065,-123.1143227",Vancouver,0,False
49.0334416,-122.8008794,cafe,starbuckswhiterock,"49.0334416,-122.8008794",Surrey,22,False
49.0246535,-122.8013247,cafe,islandscafe,"49.0246535,-122.8013247",NONE,9,False
49.2714968,-123.1006411,pub,dubhlinngate,"49.2714968,-123.1006411",Vancouver,0,False
49.0684981,-122.3585303,pub,townlinetaphouseandgrill,"49.0684981,-122.3585303",Abbotsford,38,False
49.2287941,-123.0049323,fast_food,fungmay,"49.2287941,-123.0049323",Burnaby,36,False
49.2287507,-123.0049404,bar,teaplus,"49.2287507,-123.0049404",Burnaby,36,False
49.2286381,-123.0049694,fast_food,bowah,"49.2286381,-123.0049694",Burnaby,36,False
49.228604,-123.004979,fast_food,shanghai,"49.228604,-123.004979",Burnaby,36,False
